ID,Corredor,Sentido,Inicio,Fin,Longitud [km],Proyecto,PYP,Operación,Estado,Google maps,Python,Vectorrutas,Origin,Punto de control,Destination,Enviar correo,Consulta Phyton,Archivo Phyton,Observaciones_1
42,Calle 10A,EW,Carrera 32d,Avenida Guayabal,1.8,N.A,PyP,Interrumpido,Inactivo,"https://www.google.es/maps/dir/6.2074367,-75.5637133/6.2148125,-75.5813539/@6.2136824,-75.5803353,18z/data=!4m2!4m1!3e0","https://maps.googleapis.com/maps/api/directions/json?origin=6.2074367,-75.5637133&destination=6.2148125,-75.5813539&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now",Ruta desde Carrera 32D hasta Avenida Guayabal por Calle 10A,"6.2074367,-75.5637133",,"6.2148125,-75.5813539",0.0,"cuerpo += leerruta(""https://maps.googleapis.com/maps/api/directions/json?origin=6.2074367,-75.5637133&destination=6.2148125,-75.5813539&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now"",0,42,""Ruta desde Carrera 32D hasta Avenida Guayabal por Calle 10A"",0)",tiempos_de_viaje_seguimiento_1.pyw,"Creados el 22/01/2018
Modificado el 30/01/2020
Seguimiento 13/07/2022 - Inactivo"
43,Transversal Inferior,NS,Calle 1 Sur,Calle 9 Sur - Balsos,1,N.A,PyP,Semiinterrumpido,Inactivo,"https://www.google.es/maps/dir/6.2004842,-75.5645554/6.1921795,-75.5677091/@6.1952767,-75.5684138,16.75z/data=!4m2!4m1!3e0","https://maps.googleapis.com/maps/api/directions/json?origin=6.2004842,-75.5645554&destination=6.1921795,-75.5677091&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now",Ruta desde Calle 1 Sur hasta Calle 9 Sur por Transversal Inferior,"6.2004842,-75.5645554",,"6.1921795,-75.5677091",0.0,"cuerpo += leerruta(""https://maps.googleapis.com/maps/api/directions/json?origin=6.2004842,-75.5645554&destination=6.1921795,-75.5677091&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now"",0,43,""Ruta desde Calle 1 Sur hasta Calle 9 Sur por Transversal Inferior"",0)",tiempos_de_viaje_seguimiento_2.pyw,"Creados el 22/01/2018
Seguimiento 13/07/2022 - Inactivo"
44,Calle 30,WE,Avenida 80,Avenida Regional,2.9,N.A,PyP,Interrumpido,Inactivo,"https://www.google.com.co/maps/dir/6.2309031,-75.6019155/6.2313003,-75.5756655/@6.2305815,-75.5781922,18z/data=!4m2!4m1!3e0","https://maps.googleapis.com/maps/api/directions/json?origin=6.2309031,-75.6019155&destination=6.2313003,-75.5756655&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now",Ruta desde Avenida 80 hasta Avenida Regional por Calle 30,"6.2309031,-75.6019155",,"6.2313003,-75.5756655",0.0,"cuerpo += leerruta(""https://maps.googleapis.com/maps/api/directions/json?origin=6.2309031,-75.6019155&destination=6.2313003,-75.5756655&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now"",0,44,""Ruta desde Avenida 80 hasta Avenida Regional por Calle 30"",0)",,"Creado el 29/01/2018
ESTA REPETIDO
Seguimiento 13/07/2022 - Inactivo"
45,Calle 30,EW,Avenida Regional,Avenida 80,2.9,N.A,PyP,Interrumpido,Inactivo,"https://www.google.com.co/maps/dir/6.2313673,-75.5755322/6.2313125,-75.6019134/@6.2311125,-75.5770678,16.75z/data=!4m2!4m1!3e0","https://maps.googleapis.com/maps/api/directions/json?origin=6.2313673,-75.5755322&destination=6.2313125,-75.6019134&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now",Ruta desde Avenida Regional hasta Avenida 80 por Calle 30,"6.2313673,-75.5755322",,"6.2313125,-75.6019134",0.0,"cuerpo += leerruta(""https://maps.googleapis.com/maps/api/directions/json?origin=6.2313673,-75.5755322&destination=6.2313125,-75.6019134&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now"",0,45,""Ruta desde Avenida Regional hasta Avenida 80 por Calle 30"",0)",,"Creado el 29/01/2018 
ESTA REPETIDO
Seguimiento 13/07/2022 - Inactivo"
46,Calle 30,WE,Avenida Regional,Avenida El Poblado,0.8,N.A,PyP,Interrumpido,Inactivo,"https://www.google.com.co/maps/dir/6.2313003,-75.5756655/6.2276149,-75.5697202/@6.2293861,-75.5736157,18z/data=!3m1!4b1!4m2!4m1!3e0","https://maps.googleapis.com/maps/api/directions/json?origin=6.2313003,-75.5756655&destination=6.2276149,-75.5697202&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now",Ruta desde Avenida Regional hasta Avenida El Poblado por Calle 30,"6.2313003,-75.5756655",,"6.2276149,-75.5697202",0.0,"cuerpo += leerruta(""https://maps.googleapis.com/maps/api/directions/json?origin=6.2313003,-75.5756655&destination=6.2276149,-75.5697202&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now"",0,46,""Ruta desde Avenida Regional hasta Avenida El Poblado por Calle 30"",0)",tiempos_de_viaje_seguimiento_2.pyw,"Creado el 29/01/2018
Seguimiento 13/07/2022 - Inactivo"
47,Calle 30,EW,Avenida El Poblado,Avenida Regional,0.8,N.A,PyP,Interrumpido,Inactivo,"https://www.google.com.co/maps/dir/6.2277603,-75.5696213/6.2314014,-75.5756525/@6.2295808,-75.5737312,18z/data=!3m1!4b1!4m2!4m1!3e0","https://maps.googleapis.com/maps/api/directions/json?origin=6.2277603,-75.5696213&destination=6.2314014,-75.5756525&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now",Ruta Avenida El Poblado hasta Avenida Regional por Calle 30,"6.2277603,-75.5696213",,"6.2314014,-75.5756525",0.0,"cuerpo += leerruta(""https://maps.googleapis.com/maps/api/directions/json?origin=6.2277603,-75.5696213&destination=6.2314014,-75.5756525&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now"",0,47,""Ruta Avenida El Poblado hasta Avenida Regional por Calle 30"",0)",tiempos_de_viaje_seguimiento_2.pyw,"Creado el 29/01/2018
Seguimiento 13/07/2022 - Inactivo"
48,Avenida Bolivariana,WE,Carrera 76,Avenida San Juan,2.4,N.A,PyP,Interrumpido,Inactivo,"https://www.google.com.co/maps/dir/6.2329294,-75.5961646/6.2479943,-75.5809097/@6.2405726,-75.5959555,15.5z/data=!4m2!4m1!3e0","https://maps.googleapis.com/maps/api/directions/json?origin=6.2329294,-75.5961646&destination=6.2479943,-75.5809097&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now",Ruta desde Carrera 76 hasta Avenida San Juan por Avenida Bolivariana,"6.2329294,-75.5961646",,"6.2479943,-75.5809097",0.0,"cuerpo += leerruta(""https://maps.googleapis.com/maps/api/directions/json?origin=6.2329294,-75.5961646&destination=6.2479943,-75.5809097&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now"",0,48,""Ruta desde Carrera 76 hasta Avenida San Juan por Avenida Bolivariana"",0)",tiempos_de_viaje_seguimiento_2.pyw,"Creado el 29/01/2018
Seguimiento 13/07/2022 - Inactivo"
49,Avenida Bolivariana,EW,Avenida San Juan,Carrera 76,2.4,N.A,PyP,Interrumpido,Inactivo,"https://www.google.com.co/maps/dir/6.2480993,-75.5811246/6.2329902,-75.5962149/@6.2404571,-75.5930471,16z/data=!3m1!4b1!4m2!4m1!3e0","https://maps.googleapis.com/maps/api/directions/json?origin=6.2480993,-75.5811246&destination=6.2329902,-75.5962149&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now",Ruta desde Avenida San Juan hasta Carrera 76 por Avenida Bolivariana,"6.2480993,-75.5811246",,"6.2329902,-75.5962149",0.0,"cuerpo += leerruta(""https://maps.googleapis.com/maps/api/directions/json?origin=6.2480993,-75.5811246&destination=6.2329902,-75.5962149&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now"",0,49,""Ruta desde Avenida San Juan hasta Carrera 76 por Avenida Bolivariana"",0)",tiempos_de_viaje_seguimiento_2.pyw,"Creado el 29/01/2018
Seguimiento 13/07/2022 - Inactivo"
50,Avenida Nutibara,SN,Avenida 33,Avenida San Juan,1.5,TV P.O/PyP,PyP,Interrumpido,Activo,"https://www.google.com.co/maps/dir/6.2397043,-75.5902835/6.2499452,-75.5995729/@6.2410564,-75.5956091,16z/data=!4m2!4m1!3e0","https://maps.googleapis.com/maps/api/directions/json?origin=6.2397043,-75.5902835&destination=6.2499452,-75.5995729&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now",Ruta desde Avenida 33 hasta Avenida San Juan por Avenida Nutibara,"6.2397043,-75.5902835",,"6.2499452,-75.5995729",0.0,"cuerpo += leerruta(""https://maps.googleapis.com/maps/api/directions/json?origin=6.2397043,-75.5902835&destination=6.2499452,-75.5995729&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now"",0,50,""Ruta desde Avenida 33 hasta Avenida San Juan por Avenida Nutibara"",0)",tiempos_de_viaje_seguimiento_6.pyw,"Creado el 29/01/2018
Se activa el 12/03/2021
seguimiento 13/07/2022 - activo"
51,Avenida Nutibara,NS,Avenida San Juan,Avenida 33,1.5,TV P.O/PyP,PyP,Interrumpido,Activo,"https://www.google.com.co/maps/dir/6.2498707,-75.5997288/6.2396177,-75.5903596/@6.2447662,-75.5994354,16z/data=!3m1!4b1!4m2!4m1!3e0","https://maps.googleapis.com/maps/api/directions/json?origin=6.2498707,-75.5997288&destination=6.2396177,-75.5903596&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now",Ruta desde Avenida San Juan hasta Avenida 33 por Avenida Nutibara,"6.2498707,-75.5997288",,"6.2396177,-75.5903596",0.0,"cuerpo += leerruta(""https://maps.googleapis.com/maps/api/directions/json?origin=6.2498707,-75.5997288&destination=6.2396177,-75.5903596&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now"",0,51,""Ruta desde Avenida San Juan hasta Avenida 33 por Avenida Nutibara"",0)",tiempos_de_viaje_seguimiento_6.pyw,"Creado el 29/01/2018
Se activa el 12/03/2021
seguimiento 13/07/2022 - activo"
52,Carrera 65,SN,Avenida San Juan,Barranquilla,2.2,TV P.O/PyP,PyP,Interrumpido,Activo,"https://www.google.com.co/maps/dir/6.2483797,-75.5833364/6.2664805,-75.5770197/@6.2510484,-75.5840177,15.96z/data=!4m2!4m1!3e0","https://maps.googleapis.com/maps/api/directions/json?origin=6.2483797,-75.5833364&destination=6.2664805,-75.5770197&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now",Ruta desde Avenida San Juan hasta Barranquilla por Carrera 65,"6.2483797,-75.5833364",,"6.2664805,-75.5770197",0.0,"cuerpo += leerruta(""https://maps.googleapis.com/maps/api/directions/json?origin=6.2483797,-75.5833364&destination=6.2664805,-75.5770197&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now"",0,52,""Ruta desde Avenida San Juan hasta Barranquilla por Carrera 65"",0)",tiempos_de_viaje_seguimiento_2.pyw,"Creado el 29/01/2018
seguimiento 13/07/2022 - activo"
53,Carrera 70,SN,Avenida 80,Calle 30,2.4,N.A,PyP,Interrumpido,Inactivo,"https://www.google.com.co/maps/dir/6.2102985,-75.5943635/6.2313645,-75.591438/@6.220896,-75.5939899,15.5z/data=!4m2!4m1!3e0","https://maps.googleapis.com/maps/api/directions/json?origin=6.2102985,-75.5943635&destination=6.2313645,-75.591438&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now",Ruta desde Avenida 80 hasta Calle 30 por Carrera 70,"6.2102985,-75.5943635",,"6.2313645,-75.591438",0.0,"cuerpo += leerruta(""https://maps.googleapis.com/maps/api/directions/json?origin=6.2102985,-75.5943635&destination=6.2313645,-75.591438&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now"",0,53,""Ruta desde Avenida 80 hasta Calle 30 por Carrera 70"",0)",tiempos_de_viaje_seguimiento_2.pyw,"Creado el 19/02/2018
Seguimiento 13/07/2022 - Inactivo"
54,Carrera 70,NS,Calle 30,Avenida 80,2.4,N.A,PyP,Interrumpido,Inactivo,"https://www.google.com.co/maps/dir/6.2313736,-75.591485/6.2110622,-75.5949191/@6.2115209,-75.5943074,18.21z/data=!4m2!4m1!3e0","https://maps.googleapis.com/maps/api/directions/json?origin=6.2313736,-75.591485&destination=6.2110622,-75.5949191&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now",Ruta desde Calle 30 hasta Avenida 80 por Carrera 70,"6.2313736,-75.591485",,"6.2110622,-75.5949191",0.0,"cuerpo += leerruta(""https://maps.googleapis.com/maps/api/directions/json?origin=6.2313736,-75.591485&destination=6.2110622,-75.5949191&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now"",0,54,""Ruta desde Calle 30 hasta Avenida 80 por Carrera 70"",0)",tiempos_de_viaje_seguimiento_2.pyw,"Creado el 19/02/2018
Seguimiento 13/07/2022 - Inactivo"
55,Carrera 65,SN,Avenida 33,La Iguana,2.2,N.A,PyP,Interrumpido,Inactivo,"https://www.google.com.co/maps/dir/6.2394748,-75.5831289/6.258551,-75.5801502/@6.2487633,-75.5846202,15.46z","https://maps.googleapis.com/maps/api/directions/json?origin=6.2394748,-75.5831289&destination=6.258551,-75.5801502&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now",Ruta desde Avenida 33 hasta La Iguana por Carrera 65,"6.2394748,-75.5831289",,"6.258551,-75.5801502",0.0,"cuerpo += leerruta(""https://maps.googleapis.com/maps/api/directions/json?origin=6.2394748,-75.5831289&destination=6.258551,-75.5801502&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now"",0,55,""Ruta desde Avenida 33 hasta La Iguana por Carrera 65"",0)",tiempos_de_viaje_seguimiento_2.pyw,"Creado el 19/02/2018
Seguimiento 13/07/2022 - Inactivo"
56,Carrera 65,SN,La Iguana,Calle 104,5.1,Gestión de velocidad,PyP,Interrumpido,Activo,"https://www.google.com.co/maps/dir/6.258551,-75.5801502/6.3013403,-75.5661671/@6.2792342,-75.5818529,14.71z","https://maps.googleapis.com/maps/api/directions/json?origin=6.258551,-75.5801502&destination=6.3013403,-75.5661671&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now",Ruta desde La Iguana hasta Calle 104 por Carrera 65,"6.258551,-75.5801502",,"6.3013403,-75.5661671",0.0,"cuerpo += leerruta(""https://maps.googleapis.com/maps/api/directions/json?origin=6.258551,-75.5801502&destination=6.3013403,-75.5661671&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now"",0,56,""Ruta desde La Iguana hasta Calle 104 por Carrera 65"",0)",tiempos_de_viaje_seguimiento_6.pyw,"Creado el 19/02/2018
Se incluye en la consulta de python el 12/03/2021
seguimiento 13/07/2022 - activo"
57,Avenida Las Palmas,NS,Chuscalito,Calle 16A Sur,4.5,N.A,Exenta,Continuo,Inactivo,"https://www.google.es/maps/dir/6.2158339,-75.5524516/6.1850161,-75.5463645/@6.1971123,-75.5493506,14.71z/data=!4m2!4m1!3e0","https://maps.googleapis.com/maps/api/directions/json?origin=6.2158339,-75.5524516&destination=6.1850161,-75.5463645&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now",Ruta desde Chuscalito hasta Calle 16A Sur por Avenida Las Palmas,"6.2158339,-75.5524516",,"6.1850161,-75.5463645",0.0,"cuerpo += leerruta(""https://maps.googleapis.com/maps/api/directions/json?origin=6.2158339,-75.5524516&destination=6.1850161,-75.5463645&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now"",0,57,""Ruta desde Chuscalito hasta Calle 16A Sur por Avenida Las Palmas"",0)",tiempos_de_viaje_seguimiento_2.pyw,"Creado el 19/02/2018
Seguimiento 13/07/2022 - Inactivo"
58,Calle 10,WE,Avenida Las Vegas,Transversal inferior,2,N.A,PyP,Interrumpido,Inactivo,"https://www.google.es/maps/dir/6.2132295,-75.5761699/6.2047435,-75.5612978/@6.2092604,-75.5714858,16.25z/data=!4m2!4m1!3e0","https://maps.googleapis.com/maps/api/directions/json?origin=6.2132295,-75.5761699&destination=6.2047435,-75.5612978&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now",Ruta desde Avenida Las Vegas hasta Transversal inferior por Calle 10,"6.2132295,-75.5761699",,"6.2047435,-75.5612978",0.0,"cuerpo += leerruta(""https://maps.googleapis.com/maps/api/directions/json?origin=6.2132295,-75.5761699&destination=6.2047435,-75.5612978&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now"",0,58,""Ruta desde Avenida Las Vegas hasta Transversal inferior por Calle 10"",0)",tiempos_de_viaje_seguimiento_2.pyw,"Creado el 19/02/2018
Seguimiento 13/07/2022 - Inactivo"
59,Calle 10A,EW,Transversal inferior,Avenida Las Vegas,2,N.A,PyP,Interrumpido,Inactivo,"https://www.google.es/maps/dir/6.2089302,-75.5592546/6.2132804,-75.5761406/@6.2130034,-75.5685807,15.96z/data=!4m2!4m1!3e0","https://maps.googleapis.com/maps/api/directions/json?origin=6.2089302,-75.5592546&destination=6.2132804,-75.5761406&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now",Ruta desde Transversal inferior hasta Avenida Las Vegas por Calle 10A,"6.2089302,-75.5592546",,"6.2132804,-75.5761406",0.0,"cuerpo += leerruta(""https://maps.googleapis.com/maps/api/directions/json?origin=6.2089302,-75.5592546&destination=6.2132804,-75.5761406&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now"",0,59,""Ruta desde Transversal inferior hasta Avenida Las Vegas por Calle 10A"",0)",tiempos_de_viaje_seguimiento_2.pyw,"Creado el 19/02/2018
Seguimiento 13/07/2022 - Inactivo"
60,La Iguaná,WE,Avenida 80,Avenida Regional,2.7,N.A,Exenta,Interrumpido,Inactivo,"https://www.google.com.co/maps/dir/6.271417,-75.5941946/6.2592654,-75.5753626/@6.2632405,-75.590188,15.5z/data=!4m2!4m1!3e0?hl=es","https://maps.googleapis.com/maps/api/directions/json?origin=6.271417,-75.5941946&destination=6.2592654,-75.5753626&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now",Ruta desde Avenida 80 hasta Avenida Regional por La Iguana,"6.271417,-75.5941946",,"6.2592654,-75.5753626",0.0,"cuerpo += leerruta(""https://maps.googleapis.com/maps/api/directions/json?origin=6.271417,-75.5941946&destination=6.2592654,-75.5753626&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now"",0,60,""Ruta desde Avenida 80 hasta Avenida Regional por La Iguana"",0)",tiempos_de_viaje_seguimiento_2.pyw,"Creado el 19/02/2018
Seguimiento 13/07/2022 - Inactivo"
61,La Iguaná,EW,Avenida Regional,Avenida 80,2.7,N.A,Exenta,Interrumpido,Inactivo,"https://www.google.com.co/maps/dir/6.2596799,-75.5753362/6.2717512,-75.5937907/@6.2624244,-75.5867988,16.21z/data=!4m2!4m1!3e0?hl=es","https://maps.googleapis.com/maps/api/directions/json?origin=6.2596799,-75.5753362&destination=6.2717512,-75.5937907&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now",Ruta desde Avenida Regional hasta Avenida 80 por La Iguana,"6.2596799,-75.5753362/",,"6.2717512,-75.5937907",0.0,"cuerpo += leerruta(""https://maps.googleapis.com/maps/api/directions/json?origin=6.2596799,-75.5753362&destination=6.2717512,-75.5937907&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now"",0,61,""Ruta desde Avenida Regional hasta Avenida 80 por La Iguana"",0)",tiempos_de_viaje_seguimiento_2.pyw,"Creado el 19/02/2018
Seguimiento 13/07/2022 - Inactivo"
62,Barranquilla,WE,Punto Cero,Carrera 47,2,PyP,PyP,Interrumpido,Activo,"https://www.google.com.co/maps/dir/6.2654255,-75.5746851/6.2626483,-75.5570593/@6.2646722,-75.5691347,16z/data=!4m2!4m1!3e0?hl=es","https://maps.googleapis.com/maps/api/directions/json?origin=6.2654255,-75.5746851&destination=6.2626483,-75.5570593&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now",Ruta desde Punto Cero hasta Carrera 47 por Barranquilla,"6.2654255,-75.5746851",,"6.2626483,-75.5570593",0.0,"cuerpo += leerruta(""https://maps.googleapis.com/maps/api/directions/json?origin=6.2654255,-75.5746851&destination=6.2626483,-75.5570593&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now"",0,62,""Ruta desde Punto Cero hasta Carrera 47 por Barranquilla"",0)",tiempos_de_viaje_seguimiento_6.pyw,"Creado el 19/02/2018
Se incluye en la consulta de python el 12/03/2021
seguimiento 13/07/2022 - activo"
63,Barranquilla,EW,Carrera 47,Punto Cero,2,PyP,PyP,Interrumpido,Activo,"https://www.google.com.co/maps/dir/6.2628024,-75.5569229/6.2656661,-75.5747505/@6.2632857,-75.5588953,18.5z/data=!4m2!4m1!3e0?hl=es","https://maps.googleapis.com/maps/api/directions/json?origin=6.2628024,-75.5569229&destination=6.2656661,-75.5747505&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now",Ruta desde Carrera 47 hasta Punto Cero por Barranquilla,"6.2628024,-75.5569229",,"6.2656661,-75.5747505",0.0,"cuerpo += leerruta(""https://maps.googleapis.com/maps/api/directions/json?origin=6.2628024,-75.5569229&destination=6.2656661,-75.5747505&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now"",0,63,""Ruta desde Carrera 47 hasta Punto Cero por Barranquilla"",0)",tiempos_de_viaje_seguimiento_6.pyw,"Creado el 19/02/2018
Se incluye en la consulta de python el 12/03/2021
seguimiento 13/07/2022 - activo"
64,Avenida Las Vegas,NS,Calle 12 Sur,Calle 18C Sur,0.8,N.A,PyP,Interrumpido,Inactivo,"https://www.google.es/maps/dir/6.1947372,-75.579506/6.1876915,-75.5816377/@6.1911588,-75.5821256,16.5z/data=!4m2!4m1!3e0","https://maps.googleapis.com/maps/api/directions/json?origin=6.1947372,-75.579506&destination=6.1876915,-75.5816377&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now",Ruta desde Calle 12 Sur hasta Calle 18C Sur por Avenida Las Vegas,"6.1947372,-75.579506",,"6.1876915,-75.5816377",0.0,"cuerpo += leerruta(""https://maps.googleapis.com/maps/api/directions/json?origin=6.1947372,-75.579506&destination=6.1876915,-75.5816377&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now"",0,64,""Ruta desde Calle 12 Sur hasta Calle 18C Sur por Avenida Las Vegas"",0)",tiempos_de_viaje_seguimiento_2.pyw,Creado el 20/02/2018
65,Avenida Las Vegas,SN,Calle 18C Sur,Calle 12 Sur,0.8,N.A,PyP,Interrumpido,Inactivo,"https://www.google.es/maps/dir/6.1877206,-75.5814662/6.1947273,-75.5794381/@6.1907194,-75.584937,16.21z/data=!4m2!4m1!3e0","https://maps.googleapis.com/maps/api/directions/json?origin=6.1877206,-75.5814662&destination=6.1947273,-75.5794381&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now",Ruta desde Calle 18C Sur hasta Calle 12 Sur por Avenida Las Vegas,"6.1877206,-75.5814662",,"6.1947273,-75.5794381",0.0,"cuerpo += leerruta(""https://maps.googleapis.com/maps/api/directions/json?origin=6.1877206,-75.5814662&destination=6.1947273,-75.5794381&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now"",0,65,""Ruta desde Calle 18C Sur hasta Calle 12 Sur por Avenida Las Vegas"",0)",tiempos_de_viaje_seguimiento_2.pyw,Creado el 20/02/2018
66,Avenida Las Palmas,SN,Calle 16A Sur,Chuscalito,4.5,N.A,Exenta,Continuo,Inactivo,"https://www.google.es/maps/dir/6.1853091,-75.5461085/6.2158908,-75.55239/@6.2033284,-75.5647848,14.29z/data=!4m2!4m1!3e0","https://maps.googleapis.com/maps/api/directions/json?origin=6.1853091,-75.5461085&destination=6.2158908,-75.55239&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now",Ruta desde Calle 16A Sur hasta Chuscalito por Avenida Las Palmas,"6.1853091,-75.5461085",,"6.2158908,-75.55239",0.0,"cuerpo += leerruta(""https://maps.googleapis.com/maps/api/directions/json?origin=6.1853091,-75.5461085&destination=6.2158908,-75.55239&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now"",0,66,""Ruta desde Calle 16A Sur hasta Chuscalito por Avenida Las Palmas"",0)",tiempos_de_viaje_seguimiento_2.pyw,Creado el 20/02/2018
